CODMICRO,x,y
33008,-42.03368858,-22.00270919
33009,-42.27086161,-22.52702356
33010,-42.23356692,-22.78833487
33011,-44.23327297,-22.548472
33012,-43.80676361,-22.26601067
33013,-44.54208664,-23.07298547
33014,-43.5540558,-22.44336028
33015,-43.00681868,-22.33322663
33016,-42.68270128,-22.58704567
33017,-43.86960056,-22.86010003
33018,-43.21243121,-22.77244373
35001,-50.72819699,-20.22041125
35002,-50.27367376,-20.15249015
35003,-49.86134691,-20.23363848
35004,-49.41629912,-20.69285575
35005,-48.90289009,-21.07122383
35006,-50.39858866,-20.65735308
35007,-49.87650967,-20.76467406
35008,-49.26641445,-21.36309479
35009,-48.66028051,-20.48334548
35010,-48.12684328,-20.50356991
35011,-47.75832137,-20.26003041
35012,-47.41666166,-20.46506482
35013,-48.44560591,-21.14361179
35014,-47.75477126,-21.33173562
35015,-47.38977718,-21.06611056
35016,-51.25881775,-20.81243624
35017,-50.718279,-21.12638616
35018,-50.24667519,-21.37946102
35019,-49.7593058,-21.67024511
35020,-49.21039789,-22.26275537
35021,-48.62039336,-22.27683673
35022,-48.93225697,-23.19643554
35023,-48.36319647,-22.88524762
35024,-48.52371469,-21.70330768
35025,-47.888748,-21.96658811
35026,-47.88931889,-22.31783258
35027,-47.3555355,-22.39173746
35028,-47.76987065,-22.76915159
35029,-47.27855707,-21.96440418
35030,-46.91142393,-21.72093965
35031,-46.96993746,-22.38359352
35032,-47.16628507,-22.87657133
35033,-46.63242115,-22.66205627
35034,-51.64067162,-21.40238631
35035,-51.04695791,-21.65087667
35036,-51.73129866,-22.20336648
35037,-50.47144947,-21.91404556
35038,-49.95566102,-22.23484678
35039,-50.54516038,-22.5946939
35040,-49.57837019,-22.9888014
35041,-49.0451138,-23.86647535
35042,-48.2349572,-23.53933343
35043,-47.90998166,-23.21498148
35044,-48.64687391,-24.32440629
35045,-47.58530544,-23.87010003
35046,-47.41886853,-23.43535764
35047,-46.93389818,-23.17794119
35048,-46.51235671,-23.02386423
35049,-45.68235757,-22.79078228
35050,-45.76130552,-23.09514983
35051,-45.08896848,-22.71037723
35052,-44.56949148,-22.72389503
35053,-45.28476317,-23.25015856
35054,-45.31309311,-23.60526815
35055,-47.88519308,-24.57152855
35056,-47.00057207,-24.17108297
35057,-46.90574008,-23.45317953
35058,-46.64242758,-23.32208452
35059,-46.33834851,-23.34696606
35060,-46.94917242,-23.81933874
35061,-46.59440417,-23.68816427
35062,-46.0949957,-23.5599536
35063,-46.24971602,-23.86317864
41001,-52.79248449,-22.94813713
41002,-53.51362505,-23.72780373
41003,-52.75238009,-23.61235203
41004,-52.86671271,-24.41895762
41005,-52.32163275,-24.14927005
41006,-51.85201057,-23.00749546
41007,-51.23446003,-22.9121601
41008,-52.20406725,-23.51863131
41009,-51.89168653,-23.46845383
41010,-51.44153133,-23.61074079
41011,-51.17599707,-23.44197269
41012,-51.51323816,-23.90281332
41013,-51.56036033,-24.35488835
41014,-50.81742076,-23.48231734
41015,-50.53427308,-23.23445596
41016,-50.00079508,-23.22950224
41017,-50.35337229,-23.8397444
41018,-49.80914761,-23.67588632
41019,-50.67422174,-24.40685066
41020,-49.76425657,-24.28690003
41021,-49.99199213,-25.05378084
41022,-53.91035158,-24.53969165
41023,-53.22117938,-25.03309538
