regcode;regname;ufcode;ufname;microcode;microname;pop;women15_49;propW25_34;child0_4;TFR;depRatio.youth;depRatio.elder;sexRatio;religPent;religCat;religNone;educNone.fem;educNone.mal;educPrim.fem;educPrim.mal;educSecd.fem;educSecd.mal;educTerc.fem;educTerc.mal;meanInc;pbf;qInfant.fem;qInfant.mal;qAdult.fem;qAdult.mal;q0_5.fem;q0_5.mal;e0.mal;e0.fem;e20.mal;e20.fem;e40.mal;e40.fem;e60.mal;e60.fem;brancos10;nulos10;pt10;uteis10;brancos14;nulos14;pt14;uteis14;brancos18;nulos18;pt18;novo18;mdb18;psl18;uteis18
3;Sudeste;31;MG;31062;Viçosa;  221585;  59588,000;0,2948077; 13123,2661;1,530658;0,3162368;0,14100532;0,9897900;0,05662974;0,8802636;0,023455325;0,6485263;0,6808754;0,09497082;0,11117621;0,14748225;0,13333280;0,10805046;0,073096383; 662,8099;0,204562584;0,016964998;0,020539608;0,09414386;0,2030780;0,018951199;0,023369910;71,19386;78,14071;53,40546;59,92917;35,88783;40,77954;20,17564;23,12399;  6213;  9603;  74555; 124514;  6177;  7597;  75458; 130877;  5512; 10753;  57251;  3809;  853;  37570; 127270
3;Sudeste;31;MG;31063;Muriaé;  275986;  74016,150;0,2972276; 17429,0668;1,629449;0,3195988;0,13712754;0,9847255;0,14444760;0,6776846;0,063514840;0,6361523;0,6709527;0,11146106;0,11803511;0,15810323;0,15572262;0,09296161;0,054069397; 664,2182;0,170263491;0,018474379;0,024484355;0,12183765;0,2154058;0,020317727;0,026431556;69,52193;76,05703;52,07850;57,92748;34,44176;38,95187;18,83780;21,91679;  4867; 10092;  82836; 155445;  5114;  8255;  91806; 159028;  3903; 11210;  58302;  3240; 1132;  66822; 155575
3;Sudeste;31;MG;31064;Ubá;  269650;  73378,000;0,2936302; 16702,1679;1,585347;0,3052806;0,13272587;0,9948068;0,07357654;0,8158879;0,028719486;0,6045012;0,6358595;0,12356638;0,14463341;0,17118500;0,15907305;0,09981846;0,059534138; 719,8130;0,119574178;0,013979165;0,019166051;0,11015101;0,2064294;0,016276223;0,021544239;70,49433;76,98234;52,72900;58,50577;35,01632;39,36548;19,29041;22,10450;  6278;  9007;  85191; 152139;  6953;  7757;  76663; 155716;  5087; 11637;  47964;  6302; 1013;  67341; 152435
3;Sudeste;31;MG;31065;Juiz de Fora;  728602; 202834,214;0,2935205; 41388,6046;1,421487;0,2768073;0,13499425;0,9211401;0,10022430;0,6973994;0,052061636;0,4472368;0,4535335;0,14060490;0,15476248;0,25456584;0,26200920;0,15660460;0,128527481;1088,2579;0,077829247;0,019532788;0,020740580;0,11524334;0,2219815;0,021443858;0,022842476;69,38239;76,50666;51,50892;58,41881;33,49733;39,41998;18,18187;22,25795; 16847; 28048; 210230; 420868; 19532; 31969; 194847; 419455; 13563; 31881; 114131; 12903; 3979; 182649; 421748
3;Sudeste;31;MG;31066;Cataguases;  216590;  57566,100;0,2886631; 12395,2181;1,513124;0,2931458;0,15304458;0,9573449;0,11424482;0,7047277;0,058246762;0,5362575;0,5649109;0,13872558;0,15734636;0,21712783;0,20793430;0,10761084;0,068952198; 722,3825;0,114237729;0,016412169;0,016438805;0,12880660;0,2153950;0,017559898;0,018587625;70,24907;76,21471;52,00528;57,79785;34,04075;38,90723;18,61347;22,08068;  4005;  6730;  74274; 129956;  4439;  6119;  75559; 129018;  3409;  8054;  46223;  3373;  791;  49718; 125615
3;Sudeste;32;ES;32001;Barra de São Francisco;   89244;  23648,000;0,3043386;  6147,1400;1,775556;0,3583914;0,13737953;1,0052578;0,17297096;0,4974008;0,141406423;0,6585101;0,6755831;0,10457906;0,13896963;0,17024612;0,15584079;0,06666475;0,029421437; 515,4085;0,254266948;0,016117032;0,013013397;0,10675737;0,2143937;0,018605003;0,015914554;71,63828;76,95818;53,72149;58,76936;36,75945;39,74496;21,17531;22,29779;  1079;  3396;  23044;  48233;  1153;  2322;  28464;  51633;  1073;  2934;  19936;   671;  325;  24209;  51014
3;Sudeste;32;ES;32002;Nova Venécia;  124110;  34165,000;0,3006878;  8256,9889;1,661879;0,3332373;0,11093110;1,0242037;0,08770760;0,6831105;0,053181335;0,6206454;0,6520053;0,11064314;0,13352763;0,18587172;0,17483769;0,08153026;0,038895851; 665,1381;0,179572658;0,011842571;0,017273536;0,08983348;0,2018164;0,013939407;0,020952893;71,76758;79,55402;54,03821;60,98569;36,63749;41,93368;20,91167;24,16533;  1905;  3371;  36607;  71628;  2316;  2778;  37444;  74100;  1734;  4105;  27977;  1315;  517;  34397;  73086
3;Sudeste;32;ES;32003;Colatina;  199711;  55818,000;0,2979863; 12208,7647;1,511446;0,3085578;0,12140283;0,9750878;0,10349923;0,6705020;0,065698693;0,5757784;0,5871016;0,13139048;0,15078355;0,19259029;0,19961437;0,09754352;0,060175587; 765,9161;0,138869525;0,012450424;0,013745306;0,08559092;0,2139144;0,015581925;0,015838390;70,84171;78,99852;52,81404;60,59311;35,84483;41,44304;20,03810;23,53659;  3927;  5876;  41557; 114324;  4520;  5557;  40489; 115467;  3410;  6652;  28399;  2538; 1065;  68306; 116336
3;Sudeste;32;ES;32004;Montanha;   54378;  14187,000;0,3059139;  4053,2887;1,945870;0,3683243;0,12822410;1,0113926;0,14609522;0,6875460;0,075944438;0,6376510;0,7106188;0,10079985;0,11314690;0,18796534;0,13738313;0,07358377;0,037842286; 549,0237;0,253746825;0,011682507;0,017885567;0,14058434;0,2244213;0,014111644;0,021694683;70,36156;76,88496;52,76173;58,38932;36,03191;39,87113;20,50814;23,34503;   655;  2000;  14186;  28662;   891;  1600;  15617;  29713;   679;  1815;  15006;   333;  141;  10861;  29843
3;Sudeste;32;ES;32005;São Mateus;  185949;  52538,000;0,3102516; 14578,0592;1,874726;0,3913911;0,08502987;0,9889934;0,16864770;0,5781931;0,099451643;0,5411256;0,5789155;0,12614231;0,13267732;0,23581183;0,23386461;0,09516560;0,052171939; 708,8243;0,178615383;0,012904453;0,018289195;0,11031079;0,2541033;0,015675485;0,021113364;68,56792;78,14269;51,09393;59,81538;35,14275;40,94753;19,90243;23,67265;  2367;  5296;  49771;  92100;  3573;  4673;  46570;  95494;  2674;  5875;  40732;  1251;  755;  41220;  98635
