UFCODE;MUNICODE;MUNINAME;VotesPT.2rnd;VotesPSL.2rnd;VotesNul.2rnd
AP;1600212;Cutias;1961;800;111
AP;1600238;Ferreira Gomes;2143;1659;210
AP;1600253;Itaubal;2530;1250;158
AP;1600279;Laranjal do Jari;11044;7703;1066
AP;1600303;Macapá;98083;120603;11999
AP;1600402;Mazagão;7628;3361;446
AP;1600501;Oiapoque;7335;3589;617
AP;1600535;Porto Grande;5250;3681;483
AP;1600550;Pracuúba;1438;747;91
AP;1600600;Santana;27662;31383;2887
AP;1600709;Tartarugalzinho;3670;2092;348
AP;1600808;Vitória do Jari;4565;1704;335
BA;2900108;Abaíra;2694;1742;457
BA;2900207;Abaré;7453;2077;444
BA;2900306;Acajutiba;5944;1476;468
BA;2900355;Adustina;7361;1188;348
BA;2900405;Água Fria;6496;1241;679
BA;2900504;Érico Cardoso;4018;1128;357
BA;2900603;Aiquara;2096;475;185
BA;2900702;Alagoinhas;51668;24844;7976
BA;2900801;Alcobaça;7839;2487;612
BA;2900900;Almadina;2527;628;144
BA;2901007;Amargosa;12470;6203;1394
BA;2901106;Amélia Rodrigues;10510;2568;981
BA;2901155;América Dourada;7472;1037;321
BA;2901205;Anagé;9762;2543;732
BA;2901304;Andaraí;6057;867;389
BA;2901353;Andorinha;8339;717;332
BA;2901403;Angical;7552;1628;379
BA;2901502;Anguera;5502;883;284
BA;2901601;Antas;5717;1445;402
BA;2901700;Antônio Cardoso;7844;931;349
BA;2901809;Antônio Gonçalves;4445;1308;306
BA;2901908;Aporá;6763;1643;635
BA;2901957;Apuarema;3019;921;304
BA;2902005;Aracatu;7154;1704;410
BA;2902054;Araças;5945;1237;370
BA;2902104;Araci;22617;3290;1243
BA;2902203;Aramari;5643;797;419
BA;2902252;Arataca;3076;1152;205
BA;2902302;Aratuípe;4635;827;315
BA;2902401;Aurelino Leal;5154;1270;361
BA;2902500;Baianópolis;6478;1804;377
BA;2902609;Baixa Grande;7344;2551;821
BA;2902658;Banzaê;5815;1531;315
BA;2902708;Barra;20502;3628;1012
BA;2902807;Barra da Estiva;10421;3149;1000
BA;2902906;Barra do Choça;15363;3762;1333
BA;2903003;Barra do Mendes;7691;779;354
BA;2903102;Barra do Rocha;1901;657;170
BA;2903201;Barreiras;43898;29915;3873
BA;2903235;Barro Alto;5893;1091;462
BA;2903276;Barrocas;8478;1420;533
BA;2903300;Governador Lomanto Júnior;2715;1096;271
BA;2903409;Belmonte;7351;2713;615
BA;2903508;Belo Campo;7092;2443;485
BA;2903607;Biritinga;8405;877;543
BA;2903706;Boa Nova;6603;889;478
BA;2903805;Boa Vista do Tupim;6496;2315;673
BA;2903904;Bom Jesus da Lapa;24779;6165;1624
BA;2903953;Bom Jesus da Serra;4964;534;279
BA;2904001;Boninal;5100;1598;514
BA;2904050;Bonito;7245;1225;496
BA;2904100;Boquira;10054;873;488
BA;2904209;Botuporã;5404;956;289
