regcode;regname;ufcode;ufname;microcode;microname;pop;share_adolbirths_2010;share_adolbirths_2018;womenHead;women15_49;propW25_34;child0_4;TFR;depRatio.youth;depRatio.elder;sexRatio;religPent;religCat;religNone;educNone.fem;educNone.mal;educPrim.fem;educPrim.mal;educSecd.fem;educSecd.mal;educTerc.fem;educTerc.mal;meanInc;pbf;qInfant.fem;qInfant.mal;qAdult.fem;qAdult.mal;q0_5.fem;q0_5.mal;e0.mal;e0.fem;e20.mal;e20.fem;e40.mal;e40.fem;e60.mal;e60.fem;brancos02;nulos02;pt02;psdb02;uteis02;brancos06;nulos06;pt06;psdb06;uteis06;brancos10;nulos10;pt10;uteis10;brancos14;nulos14;pt14;uteis14;brancos18;nulos18;pt18;novo18;mdb18;psl18;uteis18
1;Norte;13;AM;13008;Rio Preto da Eva;52893,9999999997;0,290322580645161;0,2527805864509606;0,297145425938413;13540,999999999933;0,322280481500628;5634,995533561021;2,74878417813384;0,545596824779178;0,0539379049677500;1,153350129122017;0,1902957917529771;0,552100286692205;0,10513657563418853;0,525791546184690;0,611446414216270;0,1789141446462611;0,1721900877997043;0,2395702426593659;0,1917240630613004;0,0548207465252124;0,02305736413466866;450,745655256823;0,21133052847721967;0,02235752170030730;0,01987913771121510;0,1068260807781898;0,201074939239108;0,02486912515426245;0,02334814296050940;71,3877635385727;79,0890124187729;53,8287762377812;61,4651489444018;36,4135541749887;42,5798808050504;20,6112937428392;25,3789496725027;257;983;6969;3521;14481;154;996;15068;1819;17987;213;1110;14964;20102;298;1341;15655;23245;349;1168;13042;292;252;10371;27330
1;Norte;13;AM;13009;Itacoatiara;152027,0000000010;0,291964285714286;0,2683725081820887;0,375400645756610;36812,000000000226;0,304438769966315;17527,162099388326;3,25160635372251;0,624410692445665;0,0832781527209168;1,091064168102899;0,1684480836254257;0,675451390761906;0,03975970824136751;0,568417526349839;0,649816916504644;0,1401557222269450;0,1276131775370354;0,2253375782153963;0,1798325365475555;0,0639259982022979;0,04123788594590284;411,792725945984;0,35729169847782272;0,02390584349361110;0,02766728904005450;0,0988338847520273;0,160481038508333;0,02843859630710151;0,03161895040568168;72,5108062926328;78,0919949522950;55,4256071982642;60,7157224434970;37,2137308662986;41,5509872969936;20,6727795560955;24,1396095271254;622;2716;27783;14167;51880;356;2931;50649;6357;60042;468;3219;49761;65188;656;2742;55203;75101;803;2241;50778;564;700;20689;80266
1;Norte;13;AM;13010;Parintins;242679,9999999999;0,284789644012945;0,2992111868053066;0,362982920650678;55482,999999999978;0,301101238217112;30091,935285232128;3,72667461483388;0,702604068056373;0,0850108205611282;1,114305654135325;0,0935855864077976;0,794997140723757;0,01349177416495520;0,562301483268825;0,621792320359103;0,1466466819015396;0,1521791230756406;0,2149184661342647;0,1870440590979550;0,0739914630794711;0,03825674767376545;337,648886312378;0,45390534481175215;0,02157043529286320;0,02769683763988820;0,0924576742143179;0,153002631808312;0,02666878139021333;0,03184618820989901;72,3914563977539;77,5841834367928;55,3397580898802;60,0757917942700;37,1887113470816;40,8460985008481;20,3307789918122;23,1836661576529;1145;5677;34594;25332;72424;659;5109;72928;9886;87093;626;5245;76352;94314;889;3968;78383;102930;929;3080;87277;691;700;16385;114349
1;Norte;13;AM;13011;Boca do Acre;48797,9999999983;0,326902465166131;0,3514986376021799;0,330940850862537;11531,999999999629;0,317030870620880;6026,737280155176;3,48646781639534;0,666352944152663;0,0720671406490627;1,126141327743862;0,2142870055103086;0,651940055742244;0,05344359930359983;0,699680894618403;0,737078853978605;0,0973677564795913;0,0829444267332644;0,1433413054134832;0,1272983713449695;0,0589197571213434;0,05012662615922606;349,194185623398;0,47354168561152182;0,02354597670909150;0,03347379229867290;0,1047366049257795;0,183255393762944;0,02645941537259351;0,03770685433140460;72,1700212345230;78,9262800741091;55,5704357090742;61,4387723364297;37,7914008973446;42,5695879404306;21,9087963541853;25,2957600098928;323;1361;3158;5708;11345;173;1483;9059;4490;14876;180;1469;9947;16273;165;1240;12122;18097;267;930;10400;39;187;7102;20098
1;Norte;13;AM;13012;Purus;69515,9999999996;0,377036462373933;0,3405017921146953;0,278101384069104;16591,999999999916;0,312741080038573;8354,503621555279;3,38626251644662;0,644664343304286;0,0670206361727846;1,161789140170738;0,1976884455533755;0,677607280389552;0,04667394342651793;0,750341677481207;0,775827086574777;0,0940028752174531;0,0866994797624903;0,1142140048490635;0,1061189660576628;0,0396529659797786;0,03035055934322120;279,172620279379;0,47826214809370271;0,02225411086554630;0,03751661628208310;0,0743941139213235;0,146837204521246;0,02550061310573263;0,04297193386985095;71,3303575262371;77,9447206269547;55,2901866900631;60,3441110370110;37,0635416884988;41,0629662383048;19,9658000380542;22,8181646173441;355;1861;5081;6184;15104;167;2236;16700;2153;20013;217;1878;17348;22465;204;1670;19365;25159;245;1124;18830;54;259;7330;29396
1;Norte;13;AM;13013;Madeira;165662,9999999987;0,320147502514247;0,3242927967337416;0,287613600567523;40228,999999999724;0,311417136891297;18707,741224275665;3,13510796579478;0,620417353928033;0,0718628473531788;1,140709316793753;0,1310190461736461;0,743425082252786;0,04877805757833387;0,663423437617882;0,703450869174521;0,1052837506157650;0,1054599762210473;0,1749496271247677;0,1500075226675713;0,0541317091268212;0,03808197305764609;423,701656516484;0,38650416850412672;0,02074188715481560;0,02758885408780770;0,0857710856426448;0,169620286583816;0,02349400991053955;0,03132559747936387;72,7685642390945;79,0365426316518;55,6589871008414;61,3596894217037;37,7757335109122;42,1678597186198;21,4548308135585;24,3358621706279;809;4023;11649;17411;37187;433;3814;38638;8924;50454;520;3508;44224;56258;499;3080;45827;62063;649;2348;41125;384;595;17804;66092
1;Norte;14;RR;14001;Boa Vista;320520,9999999990;0,231167740128815;0,2067445674456745;0,440258698012558;92409,999999999767;0,333805865166107;32336,037424606962;2,26073600008202;0,479742903042517;0,0527839833379851;0,978763279805084;0,1743270812452643;0,501968500758013;0,14309010825889587;0,344223712183568;0,426015601595614;0,1302584809582223;0,1390081834176721;0,3845102525664869;0,3295558557517194;0,1379502067173060;0,10346460813604280;874,078543589789;0,23665319425989384;0,01575857750266220;0,01962675474785210;0,1075862769104615;0,205568269832062;0,01872048657065597;0,02350107246141748;70,3664745633111;78,0542872998398;52,7549238192322;59,9463541991286;35,2611859958761;41,0215660750627;19,3900699745856;23,6722872678165;1330;7792;52962;37562;115955;1628;5033;30132;84211;137750;1951;5142;38663;160396;2189;4666;48052;131464;2089;4841;24687;3924;2603;133555;198435
1;Norte;14;RR;14002;Nordeste de Roraima;42160,0000000008;0,313861386138614;0,3063380281690141;0,284551103492608;8670,000000000164;0,299192618223760;6362,164702820249;5,05974273491231;0,838140171866128;0,0691127841405273;1,195769757081548;0,1775695380997584;0,651491715960546;0,06763842648470586;0,663089637599678;0,705077614768527;0,1092596394784005;0,1143827527308484;0,1666509710871845;0,1464513442711468;0,0550293474433584;0,02901781389790627;328,803216874371;0,39505316623226566;0,03409474087140640;0,03880811108125110;0,1154159402639903;0,203018291769632;0,03942199996827642;0,04395696165853484;71,4848450148095;76,0605016709454;55,6897918787695;59,7100160521891;38,6914865070758;41,0255572083814;23,1755337655565;23,7948442492647;175;1729;5124;4964;13427;136;991;4572;8457;15514;168;1021;7391;19455;192;955;11479;23200;186;777;10956;134;291;10912;27340
1;Norte;14;RR;14003;Caracaraí;41885,9999999999;0,324909747292419;0,3014959723820483;0,371319016215168;10115,622826994197;0,330608821289662;4352,934516017821;2,79743672569068;0,581832426854649;0,0642143392127585;1,152923018133116;0,1785099648704372;0,566657251610756;0,12281303688904889;0,598560167595838;0,698177589538362;0,1107003279342829;0,1081912002067420;0,2241088778814735;0,1634399698944295;0,0654540381090090;0,02980039974780418;453,765506590683;0,37607166780171042;0,02333724624570070;0,01745471938616280;0,1239681042392216;0,214160601146427;0,02709456045273024;0,02181265276607314;71,7180444324052;75,9617530333295;54,1376577541643;58,5212883937842;37,3019938111964;39,6516632090598;21,8143342228995;22,6844238454331;205;1717;6951;5812;15548;197;899;6417;7487;17510;251;961;7754;20619;297;867;10972;22387;225;862;6430;139;269;13714;23983
1;Norte;14;RR;14004;Sudeste de Roraima;45912,0000000000;0,271523178807947;0,2426035502958580;0,259306709822366;11284,646606114678;0,315691399501654;4567,308655466688;2,70690740050243;0,536654081076794;0,0566338934667271;1,164922794363856;0,2122399198754127;0,524018577511190;0,12912152393806434;0,577772728345012;0,678807527091542;0,1337233350034412;0,1413668711102956;0,2075286380133889;0,1390820606768453;0,0802517290707800;0,03859654479836098;371,441787472887;0,42685674957626829;0,02127703064540400;0,02462813572808130;0,0980950533162327;0,203196639399544;0,02474663735607565;0,02970881959777976;71,1000048251076;76,6024381858862;54,1602813327097;58,8794187689155;36,7746006137455;39,6774877548480;21,0805605282869;22,0720094629820;234;2012;6915;6354;15087;232;1101;8312;6735;18248;355;1146;10119;22151;376;1076;12439;24484;333;1049;7333;112;263;16125;27030
