microcode;ufname;microname;brancos02;nulos02;uteis02;pt02;psdb02;brancos06;nulos06;uteis06;pt06;psdb06;brancos10;nulos10;pt10;uteis10;brancos14;nulos14;pt14;uteis14;brancos18;nulos18;pt18;novo18;mdb18;psl18;uteis18
21017;MA;Caxias;4734;27954;125257;62949;43016;3131;17840;171683;142591;14828;3810;20328;138290;182334;4423;15889;148017;197362;3562;13379;139352;951;2775;40639;209442
21018;MA;Chapadas do Alto Itapecuru;3705;21365;64193;17156;40124;2243;11684;91405;72056;11524;2457;12951;71740;89781;2272;9217;77665;97661;1700;7531;78152;398;2714;14545;105443
21019;MA;Porto Franco;1015;6669;35501;11587;21173;679;3046;47487;29994;12209;968;4187;29904;49589;744;3266;33007;52995;628;2492;30036;392;781;18053;55979
21020;MA;Gerais de Balsas;1546;7476;36259;13601;19215;938;4237;51888;29854;15903;1290;5145;35969;57073;1382;4039;38715;62927;1109;3695;35423;280;1004;22403;67040
21021;MA;Chapadas das Mangabeiras;1125;6697;23762;8360;10885;533;3652;32916;21395;7373;648;4193;27255;34376;737;2872;27415;37054;575;2315;26252;65;829;8350;39486
22001;PI;Baixo Parnaíba Piauiense;5785;25674;124994;52795;65653;3805;16056;157440;99925;45110;4257;18702;106739;159520;4388;12910;129761;176247;3831;11846;130628;946;1750;29750;189047
22002;PI;Litoral Piauiense;3563;17179;122038;49581;56854;3318;12909;144226;85755;44621;4018;13320;89654;152056;4195;11006;112900;168248;3770;11267;102346;1284;1455;39871;176960
22003;PI;Teresina;7812;33094;413740;240475;96615;8372;24887;478394;316990;99994;9319;27866;300094;513827;7218;19193;324373;332443;11059;33817;283554;9065;5945;155558;559271
22004;PI;Campo Maior;4402;19363;101109;38821;52507;2828;12044;118441;79649;27989;2911;13586;86761;119767;2774;9040;95853;129213;2446;8713;92436;546;1040;18594;138379
22005;PI;Médio Parnaíba Piauiense;1898;10804;61701;27436;29577;1500;6696;72460;54967;11488;1578;7793;55519;73399;1434;5351;61497;80260;1217;5233;62060;531;570;12600;84983
22006;PI;Valença do Piauí;1562;10077;50513;24550;17635;1115;6464;57496;42364;10419;1047;7532;44502;57903;1035;4997;47469;62164;881;4901;45929;290;510;8453;63495
22007;PI;Alto Parnaíba Piauiense;477;3235;14641;5305;8062;426;2299;19394;8930;8355;470;2347;11850;20816;463;1517;15954;23865;342;1430;16567;82;261;5452;26152
22008;PI;Bertolínia;595;3342;19327;6206;10425;495;2266;22462;15606;5110;592;2765;16184;22279;390;1453;17058;23997;382;1674;16753;121;241;4567;25063
22009;PI;Floriano;1665;8865;54849;21977;24617;1468;6086;64239;41902;14643;1599;6605;45541;64837;1587;4238;52046;69408;1232;4014;47903;417;765;11598;71597
22010;PI;Alto Médio Gurguéia;1033;7089;33026;10964;19960;878;4232;42337;29489;9108;866;4553;31074;43341;907;3279;34307;46601;782;3240;35514;189;446;8106;50963
22011;PI;São Raimundo Nonato;1857;11426;55357;22428;31260;1429;6805;70688;54217;12228;1464;8845;52740;69294;1198;5235;62477;76571;1088;4253;64575;230;690;6716;82575
22012;PI;Chapadas do Extremo Sul Piauiense;716;5989;34426;13093;17157;857;4231;40428;28144;8464;682;4809;30566;40546;626;3155;34411;43210;649;3041;33934;109;529;6296;46388
22013;PI;Picos;3411;14924;86665;39852;38153;2555;10281;103538;71283;22615;2523;11515;77294;107133;2394;7519;90810;118180;1896;8123;85362;788;835;18792;123577
22014;PI;Pio IX;672;5201;27086;13059;11210;716;3448;31666;20791;8274;865;4043;23705;32339;569;2394;27890;35514;463;2220;24456;127;271;4056;37057
