Abrangência;Cargo;Sexo;Qt Candidatos;Eleito;2º Turno;Não Eleito
ALAGOINHA;Vereador;Feminino;21;4;0;17
ALAGOINHA DO PIAUÍ;Vereador;Masculino;7;6;0;1
ALAGOINHA DO PIAUÍ;Vereador;Feminino;4;3;0;1
ALAGOINHAS;Vereador;Masculino;190;16;0;174
ALAGOINHAS;Vereador;Feminino;68;1;0;67
ALAMBARI;Vereador;Masculino;39;9;0;30
ALAMBARI;Vereador;Feminino;16;0;0;16
ALBERTINA;Vereador;Masculino;31;7;0;24
ALBERTINA;Vereador;Feminino;16;2;0;14
ALCÂNTARA;Vereador;Masculino;70;10;0;60
ALCÂNTARA;Vereador;Feminino;33;1;0;32
ALCÂNTARAS;Vereador;Masculino;23;8;0;15
ALCÂNTARAS;Vereador;Feminino;11;1;0;10
ALCANTIL;Vereador;Masculino;34;7;0;27
ALCANTIL;Vereador;Feminino;16;2;0;14
ALCINÓPOLIS;Vereador;Masculino;23;8;0;15
ALCINÓPOLIS;Vereador;Feminino;12;1;0;11
ALCOBAÇA;Vereador;Masculino;78;9;0;69
ALCOBAÇA;Vereador;Feminino;39;2;0;37
ALDEIAS ALTAS;Vereador;Masculino;70;8;0;62
ALDEIAS ALTAS;Vereador;Feminino;33;3;0;30
ALECRIM;Vereador;Masculino;13;8;0;5
ALECRIM;Vereador;Feminino;8;1;0;7
ALEGRE;Vereador;Masculino;59;13;0;46
ALEGRE;Vereador;Feminino;25;0;0;25
ALEGRETE;Vereador;Masculino;85;11;0;74
ALEGRETE;Vereador;Feminino;39;4;0;35
ALEGRETE DO PIAUÍ;Vereador;Masculino;15;6;0;9
ALEGRETE DO PIAUÍ;Vereador;Feminino;7;3;0;4
ALEGRIA;Vereador;Masculino;22;8;0;14
ALEGRIA;Vereador;Feminino;10;1;0;9
ALÉM PARAÍBA;Vereador;Masculino;113;12;0;101
ALÉM PARAÍBA;Vereador;Feminino;56;1;0;55
ALENQUER;Vereador;Masculino;102;14;0;88
ALENQUER;Vereador;Feminino;48;1;0;47
ALEXANDRIA;Vereador;Masculino;21;9;0;12
ALEXANDRIA;Vereador;Feminino;11;0;0;11
ALEXÂNIA;Vereador;Masculino;96;11;0;85
ALEXÂNIA;Vereador;Feminino;49;0;0;49
ALFENAS;Vereador;Masculino;126;12;0;114
ALFENAS;Vereador;Feminino;61;0;0;61
ALFREDO CHAVES;Vereador;Masculino;40;9;0;31
ALFREDO CHAVES;Vereador;Feminino;23;0;0;23
ALFREDO MARCONDES;Vereador;Masculino;28;8;0;20
ALFREDO MARCONDES;Vereador;Feminino;14;1;0;13
ALFREDO VASCONCELOS;Vereador;Masculino;37;8;0;29
ALFREDO VASCONCELOS;Vereador;Feminino;19;1;0;18
ALFREDO WAGNER;Vereador;Masculino;22;9;0;13
ALFREDO WAGNER;Vereador;Feminino;11;0;0;11
ALGODÃO DE JANDAÍRA;Vereador;Masculino;21;6;0;15
ALGODÃO DE JANDAÍRA;Vereador;Feminino;10;3;0;7
ALHANDRA;Vereador;Masculino;41;9;0;32
ALHANDRA;Vereador;Feminino;19;2;0;17
ALIANÇA;Vereador;Masculino;42;8;0;34
ALIANÇA;Vereador;Feminino;21;3;0;18
ALIANÇA DO TOCANTINS;Vereador;Masculino;20;7;0;13
ALIANÇA DO TOCANTINS;Vereador;Feminino;10;2;0;8
ALMADINA;Vereador;Masculino;21;6;0;15
ALMADINA;Vereador;Feminino;8;3;0;5
ALMAS;Vereador;Masculino;19;5;0;14
ALMAS;Vereador;Feminino;6;4;0;2
ALMEIRIM;Vereador;Masculino;64;8;0;56
ALMEIRIM;Vereador;Feminino;33;1;0;32
ALMENARA;Vereador;Masculino;84;11;0;73
ALMENARA;Vereador;Feminino;41;2;0;39
ALMINO AFONSO;Vereador;Masculino;16;9;0;7
ALMINO AFONSO;Vereador;Feminino;10;0;0;10
ALMIRANTE TAMANDARÉ;Vereador;Masculino;161;13;0;148
ALMIRANTE TAMANDARÉ;Vereador;Feminino;74;2;0;72
ALMIRANTE TAMANDARÉ DO SUL;Vereador;Masculino;16;4;0;12
ALMIRANTE TAMANDARÉ DO SUL;Vereador;Feminino;13;5;0;8
ALOÂNDIA;Vereador;Masculino;19;9;0;10
ALOÂNDIA;Vereador;Feminino;9;0;0;9
ALPERCATA;Vereador;Masculino;65;8;0;57
ALPERCATA;Vereador;Feminino;33;1;0;32
ALPESTRE;Vereador;Masculino;20;8;0;12
ALPESTRE;Vereador;Feminino;10;1;0;9
ALPINÓPOLIS;Vereador;Masculino;54;6;0;48
ALPINÓPOLIS;Vereador;Feminino;32;3;0;29
ALTA FLORESTA;Vereador;Masculino;59;10;0;49
ALTA FLORESTA;Vereador;Feminino;28;1;0;27
ALTA FLORESTA DO OESTE;Vereador;Masculino;61;8;0;53
ALTA FLORESTA DO OESTE;Vereador;Feminino;25;2;0;23
ALTAIR;Vereador;Masculino;28;7;0;21
ALTAIR;Vereador;Feminino;13;2;0;11
ALTAMIRA;Vereador;Masculino;101;12;0;89
ALTAMIRA;Vereador;Feminino;39;3;0;36
ALTAMIRA DO MARANHÃO;Vereador;Masculino;20;6;0;14
ALTAMIRA DO MARANHÃO;Vereador;Feminino;15;3;0;12
ALTAMIRA DO PARANÁ;Vereador;Masculino;22;8;0;14
ALTAMIRA DO PARANÁ;Vereador;Feminino;12;1;0;11
ALTANEIRA;Vereador;Masculino;11;6;0;5
ALTANEIRA;Vereador;Feminino;7;3;0;4
ALTEROSA;Vereador;Masculino;47;9;0;38
ALTEROSA;Vereador;Feminino;27;0;0;27
ALTINHO;Vereador;Masculino;24;10;0;14
ALTINHO;Vereador;Feminino;11;1;0;10
ALTINÓPOLIS;Vereador;Masculino;71;11;0;60
ALTINÓPOLIS;Vereador;Feminino;34;0;0;34
ALTO ALEGRE;Vereador;Masculino;82;24;0;58
ALTO ALEGRE;Vereador;Feminino;40;3;0;37
ALTO ALEGRE DO MARANHÃO;Vereador;Masculino;37;8;0;29
ALTO ALEGRE DO MARANHÃO;Vereador;Feminino;23;3;0;20
ALTO ALEGRE DO PINDARÉ;Vereador;Masculino;61;12;0;49
ALTO ALEGRE DO PINDARÉ;Vereador;Feminino;25;1;0;24
ALTO ALEGRE DOS PARECIS;Vereador;Masculino;48;8;0;40
ALTO ALEGRE DOS PARECIS;Vereador;Feminino;24;1;0;23
ALTO ARAGUAIA;Vereador;Masculino;34;8;0;26
ALTO ARAGUAIA;Vereador;Feminino;19;3;0;16
ALTO BELA VISTA;Vereador;Masculino;21;5;0;16
ALTO BELA VISTA;Vereador;Feminino;11;4;0;7
