"microcode";"fem";"tot";"share_fem_politics"
43016;26;201;0,129353233830846
43028;6;78;0,0769230769230769
43004;27;298;0,0906040268456376
43021;46;340;0,135294117647059
43027;35;230;0,152173913043478
43033;15;112;0,133928571428571
43025;19;109;0,174311926605505
43020;22;204;0,107843137254902
43034;2;27;0,0740740740740741
43005;17;108;0,157407407407407
43002;26;204;0,127450980392157
43013;14;85;0,164705882352941
43015;27;179;0,150837988826816
43007;23;156;0,147435897435897
43018;25;142;0,176056338028169
43022;12;73;0,164383561643836
43006;15;99;0,151515151515152
43024;21;145;0,144827586206897
43017;11;87;0,126436781609195
43035;9;52;0,173076923076923
43012;15;72;0,208333333333333
43030;10;65;0,153846153846154
50007;10;55;0,181818181818182
50003;8;80;0,1
50010;18;180;0,1
50002;5;44;0,113636363636364
50008;8;51;0,156862745098039
50011;34;183;0,185792349726776
50006;3;36;0,0833333333333333
50004;16;138;0,115942028985507
50009;21;120;0,175
50005;6;40;0,15
50001;5;35;0,142857142857143
51016;4;29;0,137931034482759
51010;12;98;0,122448979591837
51002;15;56;0,267857142857143
51022;6;29;0,206896551724138
51009;24;164;0,146341463414634
51015;3;45;0,0666666666666667
51011;3;33;0,0909090909090909
51020;15;92;0,16304347826087
51014;16;129;0,124031007751938
51001;11;78;0,141025641025641
51018;4;38;0,105263157894737
51013;9;63;0,142857142857143
51004;7;47;0,148936170212766
51019;4;28;0,142857142857143
51017;7;86;0,0813953488372093
51007;8;87;0,0919540229885057
51003;11;78;0,141025641025641
51012;7;47;0,148936170212766
51021;11;97;0,11340206185567
51008;7;38;0,184210526315789
51006;11;85;0,129411764705882
51005;4;54;0,0740740740740741
52010;24;237;0,10126582278481
52012;21;242;0,0867768595041322
52014;12;121;0,0991735537190083
52009;15;123;0,121951219512195
52015;21;235;0,0893617021276596
52004;27;205;0,131707317073171
52005;6;74;0,0810810810810811
52011;17;139;0,122302158273381
52008;7;94;0,074468085106383
52007;20;215;0,0930232558139535
52017;15;127;0,118110236220472
52013;30;187;0,160427807486631
52003;11;74;0,148648648648649
52002;20;103;0,194174757281553
52006;39;236;0,165254237288136
52018;15;114;0,131578947368421
52016;14;94;0,148936170212766
52001;15;89;0,168539325842697
53001;4;24;0,166666666666667
